gene,log2FC,pvalue,padj
ENSSSCT00000048190.3,-0.5212107667950506,0.0021645021645021645,0.19236785623340244
ENSSSCT00000067976.1,-0.5013063394973865,0.0021645021645021645,0.19236785623340244
ENSSSCT00000012444.5,0.9200403266459993,0.0021645021645021645,0.19236785623340244
ENSSSCT00000024643.4,0.9089899790784441,0.0021645021645021645,0.19236785623340244
ENSSSCT00000023185.4,-0.46901627132158374,0.0021645021645021645,0.19236785623340244
ENSSSCT00000098171.1,-0.8244559991132459,0.0021645021645021645,0.19236785623340244
ENSSSCT00000053786.3,-0.3646061924646862,0.0021645021645021645,0.19236785623340244
ENSSSCT00000103305.1,-1.2037644529237328,0.0021645021645021645,0.19236785623340244
ENSSSCT00000096484.1,-1.153215710885376,0.0021645021645021645,0.19236785623340244
ENSSSCT00000076556.1,-0.25868378433394423,0.0021645021645021645,0.19236785623340244
ENSSSCT00000083354.1,-0.634790232647327,0.0021645021645021645,0.19236785623340244
ENSSSCT00000048054.2,-0.3584135206584271,0.0021645021645021645,0.19236785623340244
ENSSSCT00000011273.5,-0.9534936558325016,0.0021645021645021645,0.19236785623340244
ENSSSCT00000014507.5,-0.6876412295396522,0.0021645021645021645,0.19236785623340244
ENSSSCT00000012006.5,0.6568887155536878,0.0021645021645021645,0.19236785623340244
ENSSSCT00000085556.1,-0.6658928734690419,0.0021645021645021645,0.19236785623340244
ENSSSCT00000081385.1,-0.9616697736930147,0.0021645021645021645,0.19236785623340244
ENSSSCT00000054843.3,1.1987019658390263,0.0021645021645021645,0.19236785623340244
ENSSSCT00000070153.1,1.5462576413157012,0.0021645021645021645,0.19236785623340244
ENSSSCT00000025739.4,0.4388836713490052,0.0021645021645021645,0.19236785623340244
ENSSSCT00000017589.5,1.2191244553102107,0.0021645021645021645,0.19236785623340244
ENSSSCT00000107759.1,-0.489782765104576,0.0021645021645021645,0.19236785623340244
ENSSSCT00000056468.3,-0.6410479174895753,0.0021645021645021645,0.19236785623340244
ENSSSCT00000041323.2,-1.0707810266439246,0.0021645021645021645,0.19236785623340244
ENSSSCT00000006925.5,-0.4775686345446579,0.0021645021645021645,0.19236785623340244
ENSSSCT00000061621.2,-0.39034899859462946,0.0021645021645021645,0.19236785623340244
ENSSSCT00000085055.2,-1.0674511459764662,0.0021645021645021645,0.19236785623340244
ENSSSCT00000027814.4,-0.6765537262912087,0.0021645021645021645,0.19236785623340244
ENSSSCT00000090903.2,-0.33372345997871017,0.0021645021645021645,0.19236785623340244
ENSSSCT00000104761.1,-1.0044346129457313,0.0021645021645021645,0.19236785623340244
ENSSSCT00000061065.2,-0.6051146167144723,0.0021645021645021645,0.19236785623340244
ENSSSCT00000063383.3,-0.3061880556968637,0.0021645021645021645,0.19236785623340244
ENSSSCT00000104181.1,-0.4928422091192761,0.0021645021645021645,0.19236785623340244
